,"CO2, ppmv",200,300,400,800,1000,1200,1300,1400
SST,"Tropical SST, K",296.7,302.8,304.5,309.2,311.0,313.7,315.1,317.3
,"Subtropical SST, K",287.6,296.8,297.9,300.9,302.0,303.7,304.7,306.2
Cloud Properties,"Cloud Fraction, (no units)",1.00,0.46,0.42,0.32,0.30,0.26,0.24,0.22
,"LWP, g/m^2",59.9,13.7,12.5,9.2,8.3,6.8,6.1,5.0
,"Cloud Base, m (5% cloud fraction)",978,589,544,481,462,437,425,410
,"Cloud Top, m",1416,1340,1230,1013,949,866,826,766
,"Cloud thickness h_c, m",438,751,686,532,487,429,401,356
,"h_c/h (cloud top - cloudbase)/cloudtop, (no units)",0.31,0.56,0.56,0.53,0.51,0.50,0.49,0.47
,"Volumetric V_c/V, (no units)",0.18,0.04,0.04,0.03,0.03,0.03,0.03,0.03
Surface Fluxes,"Latent Heat Flux, W/m^2",96.1,179.1,183.7,195.2,199.7,206.0,209.4,214.4
,"Sensible Heat Flux, W/m^2",3.3,5.9,5.4,4.5,3.8,2.9,2.3,1.3
,"Surface LW Up, W/m^2",386.6,436.9,443.6,462.0,469.4,480.4,486.6,496.4
,"Surface LW Down, W/m^2",364.3,380.2,388.7,412.8,423.5,438.7,447.5,461.0
,"Surface SW Up, W/m^2",13.2,26.5,26.8,27.3,27.4,27.5,27.5,27.6
,"Surface SW Down, W/m^2",131.7,265.5,267.5,273.2,273.5,275.2,275.4,275.7
,"Surface SWCRE, W/m^2",175.6,44.2,40.6,30.4,28.0,23.5,21.6,18.8
,"Near Surface RH, (no units)",0.82,0.82,0.83,0.84,0.85,0.86,0.86,0.87
Cloud Top/Inversion,"Cloud top LW Down, W/m^2",246.9,290.2,305.7,346.2,362.3,385.4,398.2,417.8
,"Cloud top LW Up, W/m^2",338.7,403.9,414.3,440.6,450.1,464.2,471.9,483.7
,"Net cloud top LW Up, W/m^2",91.8,113.7,108.6,94.4,87.8,78.8,73.7,65.9
,"Cloud top SW Down, W/m^2",360.8,344.0,339.7,328.9,324.9,319.3,316.4,312.1
,"Cloud top SW Up, W/m^2",220.9,82.7,78.1,65.9,62.9,57.5,55.2,51.7
,"Cloud top divergence, 1e-6 1/s",2.70,2.85,3.06,3.51,3.65,3.83,3.92,4.06
,"Cloud top subsidence velocity, 1e-3 m/s",6.47,6.21,5.82,4.99,4.73,4.38,4.21,3.95
,"Cloud top LW cooling (LW_cloudy[top] - min(LW_cloudy]), W/m^2",86.8,18.4,16.5,11.2,9.8,7.5,6.5,5.1
,"Cloud top LW cooling (LW_cloudy[top] - LW_cloudy[5%base]), W/m^2",68.6,17.6,16.1,11.2,9.7,7.5,6.5,5.1
,"Cloud top cooling LW_cloudy over 150 m jump, W/m^2",82.1,9.6,9.7,7.2,6.6,5.1,4.5,3.6
,"Temperature inversion jump, K",6.86,3.38,3.96,4.60,4.78,4.87,4.89,4.87
,"Theta_l inversion jump, K",8.97,4.64,5.22,5.86,6.03,6.10,6.12,6.08
,"q_t inversion jump, g/kg",3.24,4.31,5.36,7.71,8.73,10.05,10.81,12.04
,"Cloud top temperature, K",283.0,291.4,293.6,298.6,300.3,302.7,303.9,305.8
,"Emission temperature cloud top LW down, K",256.9,267.5,271.0,279.5,282.7,287.1,289.5,293.0
,"Emission temperature cloud top LW up, K",278.0,290.5,292.4,296.9,298.5,300.8,302.0,303.9
,"Emission height cloud top LW down, m",5895,5786,5637,5270,5113,4882,4735,4498
Cloud Base,"Cloud base LW down, W/m^2",336.4,342.2,351.9,376.5,387.7,403.7,413.0,427.4
,"Cloud base LW up, W/m^2",360.5,417.5,425.1,444.5,452.3,463.8,470.3,480.4
,"Cloud base SW down, W/m^2",139.4,276.3,277.3,282.1,282.1,283.3,283.3,283.5
,"Cloud base SW up, W/m^2",17.3,29.7,29.3,29.4,29.4,29.4,29.4,29.4
,"Cloud base latent heat flux, W/m^2",85.02,186.38,192.61,206.08,211.37,218.92,222.76,227.75
TOA,"TOA LW Up, W/m^2",249.9,278.3,280.2,285.3,287.3,291.1,293.3,297.0
,"TOA SW Up, W/m^2",238.0,112.1,108.2,97.4,94.7,90.0,87.9,84.8
,"TOA  SW Down, W/m^2",470.9,470.9,470.9,470.9,470.9,470.9,470.9,470.9
,"TOA SWCRE, W/m^2",167.3,42.8,39.0,28.9,26.5,22.1,20.3,17.6
Integral Quantities,"Subcloud TKE, J/m^2 (5% base)",224.0,153.5,143.8,127.9,122.9,117.7,113.0,107.6
,"Incloud TKE, J/m^2 (5% base)",168.5,161.5,144.2,104.7,93.7,79.1,71.1,59.0
,"Subcloud w'^2 (\int \rho w^2 dz), J/m^2 (5% base)",100.8,74.0,66.9,54.9,51.3,45.3,42.3,38.4
,"Incloud w'^2 (\int \rho w^2 dz), J/m^2 (5% base)",89.0,94.4,82.6,54.1,46.2,36.0,31.2,24.6
,"Latent Heat Export, W/m^2",25.3,45.2,48.4,57.8,61.9,68.4,72.2,78.7
,"Buoyancy flux from sfc to cloud base (5% base), kg/s^3",0.13,0.13,0.12,0.10,0.09,0.09,0.08,0.08
,"Buoyancy flux from sfc  to cloud top, kg/s^3",0.41,0.43,0.39,0.29,0.26,0.22,0.20,0.17
,"Subcloud RH, no units",0.86,0.86,0.86,0.88,0.88,0.89,0.89,0.90
