,"CO2, ppmv",200,300,400,800,1000,1200,1300,1400,1600
SST,"Tropical SST, K",296.7,298.4,299.8,303.4,304.9,306.2,314.8,316.8,319.8
,"Subtropical SST, K",287.7,289.1,290.0,292.2,293.2,294.3,304.5,305.8,308.0
Cloud Properties,"Cloud Fraction, no units",1.00,1.00,1.00,1.00,1.00,0.99,0.25,0.22,0.19
,"LWP, g/m^2",58.0,53.4,51.6,50.0,48.4,44.4,6.3,5.3,3.7
,"Cloud Base, m (5% cloud fraction)",996,939,895,717,650,621,429,413,392
,"Cloud Top, m",1442,1349,1266,1078,1011,972,834,781,703
,"Cloud thickness h_c, m",446,410,371,361,361,351,405,368,311
,"h_c/h (cloud top - cloudbase)/cloudtop, no units",0.31,0.30,0.29,0.34,0.36,0.36,0.49,0.47,0.44
,"Volumetric V_c/V, no units",0.17,0.17,0.17,0.19,0.19,0.19,0.03,0.03,0.03
Surface Fluxes,"Latent Heat Flux, W/m^2",97.8,103.9,107.1,112.8,115.3,120.5,208.7,213.5,220.9
,"Sensible Heat Flux, W/m^2",3.3,2.7,2.3,1.2,0.8,0.5,2.3,1.4,-0.1
,"Surface LW Up, W/m^2",387.5,394.7,399.8,412.5,418.0,424.3,485.2,494.1,508.9
,"0.997 * sig * SST^4, W/m^2",387.5,394.6,399.7,412.2,417.7,424.0,485.8,494.5,508.9
,"Surface LW Down, W/m^2",364.8,372.9,379.1,394.2,400.4,406.4,445.7,457.9,478.4
,"net LW = down - up, W/m^2",-22.7,-21.7,-20.8,-18.3,-17.6,-17.9,-39.5,-36.2,-30.5
,"Surface SW Up, W/m^2",13.4,13.9,14.1,14.4,14.5,15.1,27.5,27.5,27.6
,"Surface SW Down, W/m^2",134.1,139.4,141.4,143.5,145.4,151.4,274.9,275.4,275.9
,"Surface SWCRE, W/m^2",173.4,166.4,163.1,156.9,153.4,146.2,22.4,19.6,15.4
,"Near Surface RH, no units",0.81,0.82,0.82,0.83,0.83,0.84,0.86,0.87,0.88
